Algorithm,n_clusters,fuzziness,rho,Repetition,ARI,NMI,DBI,Silhouette,CHS,Predicted k,Time
"FuzzyCMeans(n_clusters=3, fuzziness=9, rho=0.5)_1",3,9.0,0.5,1,0.05476538991470458,0.09218564723543869,2.259957121427629,0.16845255896161143,27.044690379547625,3,0.015623331069946289
"FuzzyCMeans(n_clusters=3, fuzziness=9, rho=0.5)_2",3,9.0,0.5,2,0.09710402873764652,0.14487927965464634,2.2624557408270505,0.1502262637961169,27.69808457326654,3,0.0
"FuzzyCMeans(n_clusters=3, fuzziness=9, rho=0.5)_3",3,9.0,0.5,3,0.07756359526270225,0.08946889648304474,2.2095860647681973,0.15962379795220924,28.02769361333306,3,0.00801706314086914
"FuzzyCMeans(n_clusters=3, fuzziness=9, rho=0.5)_4",3,9.0,0.5,4,0.07574466130592657,0.08539163434118972,2.218196913801043,0.16018681845259888,27.978005872857622,3,0.008532285690307617
"FuzzyCMeans(n_clusters=3, fuzziness=9, rho=0.5)_5",3,9.0,0.5,5,0.09450895937238349,0.1311332274704593,2.252140098600678,0.1498826316695068,27.60883861134084,3,0.0
"FuzzyCMeans(n_clusters=3, fuzziness=9, rho=0.5)_6",3,9.0,0.5,6,0.09111639605757424,0.16399485912199113,2.212028589550916,0.1418043089404684,27.79265494762677,3,0.0
"FuzzyCMeans(n_clusters=3, fuzziness=9, rho=0.5)_7",3,9.0,0.5,7,0.04640159438362923,0.11354331830990066,2.217160864489466,0.15884118656247775,27.714178453684287,3,0.0
"FuzzyCMeans(n_clusters=3, fuzziness=9, rho=0.5)_8",3,9.0,0.5,8,0.10458207331906025,0.1581677314284358,2.2602332844384274,0.15019368704175245,27.7320212679337,3,0.01305389404296875
"FuzzyCMeans(n_clusters=3, fuzziness=9, rho=0.5)_9",3,9.0,0.5,9,0.07756359526270225,0.08946889648304474,2.2095860647681973,0.15962379795220924,28.02769361333306,3,0.016148805618286133
"FuzzyCMeans(n_clusters=3, fuzziness=9, rho=0.7)_0",3,9.0,0.7,0,0.07871706890589278,0.0952718070974667,2.2383508061051227,0.15939638562128405,27.9873018767018,3,0.008018970489501953
"FuzzyCMeans(n_clusters=3, fuzziness=9, rho=0.7)_1",3,9.0,0.7,1,0.04719369532787273,0.06542055232894499,2.2181990509065708,0.16519687974489944,27.302450742771224,3,0.009014606475830078
"FuzzyCMeans(n_clusters=3, fuzziness=9, rho=0.7)_2",3,9.0,0.7,2,0.0978427473031478,0.15317735423003467,2.2664797604127966,0.14960920805619723,27.742278189792707,3,0.019403457641601562
"FuzzyCMeans(n_clusters=3, fuzziness=9, rho=0.7)_3",3,9.0,0.7,3,0.09710402873764652,0.1448792796546463,2.2624557408270505,0.1502262637961169,27.69808457326654,3,0.007998943328857422
"FuzzyCMeans(n_clusters=3, fuzziness=9, rho=0.7)_4",3,9.0,0.7,4,0.0959936797656275,0.1375933062966797,2.2566587399478286,0.1507189138678767,27.674981336194207,3,0.003331899642944336
"FuzzyCMeans(n_clusters=3, fuzziness=9, rho=0.7)_5",3,9.0,0.7,5,0.07574466130592657,0.08539163434118972,2.218196913801043,0.16018681845259888,27.978005872857622,3,0.013517618179321289
"FuzzyCMeans(n_clusters=3, fuzziness=9, rho=0.7)_6",3,9.0,0.7,6,0.08370925631425387,0.15067659522751048,2.214631471010343,0.14206833962837723,27.756211378715232,3,0.010941743850708008
"FuzzyCMeans(n_clusters=3, fuzziness=9, rho=0.7)_7",3,9.0,0.7,7,0.07574466130592657,0.08539163434118972,2.218196913801043,0.16018681845259888,27.978005872857622,3,0.008193016052246094
"FuzzyCMeans(n_clusters=3, fuzziness=9, rho=0.7)_8",3,9.0,0.7,8,0.10526170841339863,0.1676524513956035,2.250904543550475,0.14780113614678272,27.627661670253705,3,0.0156252384185791
"FuzzyCMeans(n_clusters=3, fuzziness=9, rho=0.7)_9",3,9.0,0.7,9,0.07574466130592657,0.08539163434118972,2.218196913801043,0.16018681845259888,27.978005872857622,3,0.011615276336669922
"FuzzyCMeans(n_clusters=3, fuzziness=9, rho=0.9)_0",3,9.0,0.9,0,0.0823714604419904,0.11198840452987101,2.287017040159155,0.15352818664247073,27.723427564166556,3,0.021016359329223633
"FuzzyCMeans(n_clusters=3, fuzziness=9, rho=0.9)_1",3,9.0,0.9,1,0.0978427473031478,0.15317735423003465,2.2664797604127966,0.14960920805619723,27.742278189792707,3,0.016078948974609375
"FuzzyCMeans(n_clusters=3, fuzziness=9, rho=0.9)_2",3,9.0,0.9,2,0.10526170841339863,0.16765245139560356,2.250904543550475,0.14780113614678272,27.62766167025371,3,0.00486445426940918
"FuzzyCMeans(n_clusters=3, fuzziness=9, rho=0.9)_3",3,9.0,0.9,3,0.04417161012800373,0.1126576040290138,2.232633483835491,0.15736541688437475,27.608735754938998,3,0.03727436065673828
"FuzzyCMeans(n_clusters=3, fuzziness=9, rho=0.9)_4",3,9.0,0.9,4,0.09075786636241544,0.140176303585171,2.26908039236781,0.149701027981425,27.71343656479363,3,0.019318819046020508
