Algorithm,max_clusters,Repetition,ARI,NMI,DBI,Silhouette,CHS,Predicted k,Time
XMeans(max_clusters=154)_0,154,0,0.13867790373601838,0.6102606032112599,1.552575911612633,0.1532210928053181,777.5263633998254,154,4.115138530731201
XMeans(max_clusters=154)_1,154,1,0.14042528836077164,0.6114978340826974,1.57076445014903,0.1576950343502538,785.1048575799934,154,4.034762859344482
XMeans(max_clusters=154)_2,154,2,0.14320134589975483,0.6105222442264828,1.5455264103115394,0.15917140895349693,782.8363747185775,154,3.9405622482299805
XMeans(max_clusters=154)_3,154,3,0.14077999098016578,0.6087660728909076,1.5413680378686745,0.1570278650882605,779.9979063389561,154,4.048245906829834
XMeans(max_clusters=154)_4,154,4,0.16079692949583838,0.6164859977692573,1.5360520785336649,0.1628621908287666,773.3606523326723,154,3.587111473083496
XMeans(max_clusters=155)_0,155,0,0.12792089648771132,0.6076093593595582,1.5561209955786135,0.15691351409378998,788.0394548413752,155,3.4513890743255615
XMeans(max_clusters=155)_1,155,1,0.14120542013412432,0.6104384008692387,1.5194557773137376,0.15876553601688836,786.2097846432251,155,3.45916748046875
XMeans(max_clusters=155)_2,155,2,0.1463979037974342,0.6087741808493862,1.5576082427010933,0.15896562789822258,772.106036808366,155,3.4095351696014404
XMeans(max_clusters=155)_3,155,3,0.14732235924527176,0.6119983384971144,1.5320900199365386,0.15568324736770262,783.0837626681802,155,3.5309860706329346
XMeans(max_clusters=155)_4,155,4,0.13021583257628067,0.6096414216846254,1.563618865898315,0.15422110480964513,794.4564182780714,155,3.3976893424987793
XMeans(max_clusters=156)_0,156,0,0.13551673190059216,0.6115173030955965,1.5450875549175163,0.1560740161109012,787.4599346247069,156,3.360084295272827
XMeans(max_clusters=156)_1,156,1,0.1380702775088782,0.610567606745515,1.57094233707476,0.15384730856528736,778.946656984648,156,4.206477642059326
XMeans(max_clusters=156)_2,156,2,0.14137762024364608,0.6065078763212576,1.5736735857760416,0.15299751767352238,756.6747575288817,156,4.167201519012451
XMeans(max_clusters=156)_3,156,3,0.1443578278848132,0.6095180893809116,1.5472256373993925,0.15790639303933504,766.7561194764501,156,4.209709644317627
XMeans(max_clusters=156)_4,156,4,0.14208204982497605,0.6098437472392596,1.533893029159291,0.1579333261612454,766.7661505451412,156,4.523273944854736
XMeans(max_clusters=157)_0,157,0,0.1395533952326561,0.6093357005841539,1.5612110341420598,0.15558593038238114,776.7361602683463,157,3.537309408187866
XMeans(max_clusters=157)_1,157,1,0.1330764282817284,0.6076337043574958,1.5562226431423996,0.15812857129729255,784.6679597896606,157,3.431537389755249
XMeans(max_clusters=157)_2,157,2,0.14021314494746936,0.6103274467451071,1.5371866342983727,0.15773000276115415,772.3624061854827,157,3.4256536960601807
XMeans(max_clusters=157)_3,157,3,0.13583107498092903,0.6107672346825122,1.5525542430911887,0.1546151465628074,773.6485308187985,157,3.317143678665161
XMeans(max_clusters=157)_4,157,4,0.13494251062310766,0.6062436153660028,1.5584639718533675,0.15529583032189756,776.6186707231695,157,3.449721097946167
XMeans(max_clusters=158)_0,158,0,0.14882387432672328,0.6096492610443519,1.5183361372860384,0.1567526408295238,752.8735887805548,158,3.4563746452331543
XMeans(max_clusters=158)_1,158,1,0.13834246691718421,0.6100242560870106,1.5484700872772368,0.15848560416951385,768.4984909121592,158,4.170012712478638
XMeans(max_clusters=158)_2,158,2,0.13829814580319177,0.6101245027103642,1.5656333720313118,0.15938614471591656,783.9490017287039,158,4.248930931091309
XMeans(max_clusters=158)_3,158,3,0.1335857862299631,0.6062015402517013,1.5398486098419744,0.15513936424895697,782.9034819994095,158,3.375291109085083
XMeans(max_clusters=158)_4,158,4,0.12862952640845468,0.6067470283674501,1.5535391127875031,0.15385429796562003,776.377951471909,158,3.4123544692993164
XMeans(max_clusters=159)_0,159,0,0.13990977943896332,0.6090286004410991,1.547354157998284,0.15529175245660512,766.3958449338667,159,3.4138402938842773
XMeans(max_clusters=159)_1,159,1,0.13443304214757343,0.6092969897599491,1.536665219137689,0.15795262717707234,781.1134567019797,159,3.4288294315338135
XMeans(max_clusters=159)_2,159,2,0.14189175516715413,0.6112317837950604,1.5318634939484335,0.15918556773272968,776.475807186402,159,3.2180392742156982
XMeans(max_clusters=159)_3,159,3,0.12930072096503892,0.6084314770508784,1.5160983707989608,0.1572736443581967,782.4861232117992,159,3.3073480129241943
XMeans(max_clusters=159)_4,159,4,0.12787229571401695,0.6071772057018733,1.5405098502018304,0.1527919110547054,769.3400428333982,159,3.600210189819336
XMeans(max_clusters=160)_0,160,0,0.1436255915833406,0.6118342642395642,1.5346326771045011,0.15914304033887677,774.3726724972465,160,3.3740615844726562
XMeans(max_clusters=160)_1,160,1,0.13592868928874888,0.6099910446415071,1.5302966440041417,0.15541382214742372,764.7140051580718,160,3.6692237854003906
XMeans(max_clusters=160)_2,160,2,0.13566827035154894,0.6080813701378154,1.5334393649525304,0.15432503082468,755.0269543419556,160,4.211092233657837
XMeans(max_clusters=160)_3,160,3,0.13050780407787715,0.6075508932579811,1.5588769697148257,0.15351063289523717,778.4163711510912,160,3.4396181106567383
XMeans(max_clusters=160)_4,160,4,0.12702992457279436,0.6050923282793037,1.5415431669225157,0.15296174412238628,782.4328220062788,160,3.3086419105529785
